name,pro,address,year,taoshu,price
梨综合市场1,长沙县小区,(长沙县星沙其他)东升路?梨综合市场,暂无信息 ,1,5590
中南汽车城2,长沙县小区,(长沙县中南汽车世界)博展路189号,2004年建成 ,5,5812
湘绣城,长沙县小区,(长沙县中南汽车世界)开元西路1号,2007年建成 ,1,6741
湖南大众传媒职业技术学院教师公寓,长沙县小区,(长沙县松雅湖)明月路161号,暂无信息 ,2,6973
欣安小区,长沙县小区,(长沙县开元路)凉塘路210号,2011年建成 ,4,6999
长丰星城,长沙县小区,(长沙县万家丽北)特立西路26号,2015年建成 ,5,7185
东城名苑,长沙县小区,(长沙县泉塘)漓湘东路63号,2006年建成 ,2,7273
尚都花园城,长沙县小区,(长沙县泉塘)泉塘街道办事处梨江社区,2011年建成 ,1,7435
淞雅苑,长沙县小区,(长沙县松雅湖)星沙大道滨湖路1号,暂无信息 ,2,7483
星城国际,长沙县小区,(长沙县泉塘)漓湘东路19号,2007年建成 ,8,7588
时代星城,长沙县小区,(长沙县泉塘)漓湘中路5号,2010年建成 ,7,7718
开源鑫阁,长沙县小区,(长沙县开元路)板仓路33号,暂无信息 ,4,7731
圆梦花园,长沙县小区,(长沙县开元路)星沙大道25号,暂无信息 ,3,7762
楚天家园,长沙县小区,(长沙县开元路)开元路18号,暂无信息 ,7,8160
锦璨家园,长沙县小区,(长沙县开元路)东二路107号,2011年建成 ,2,8187
广泰家园,长沙县小区,(长沙县开元路)星沙易初莲花超市附近,暂无信息 ,1,8216
幸福洋房,长沙县小区,(长沙县开元路)凉塘东路9号,2006年建成 ,4,8332
香槟小镇,长沙县小区,(长沙县开元路)星沙大道19号,暂无信息 ,2,8337
蝴蝶谷,长沙县小区,(长沙县开元路)东升路42号,2012年建成 ,3,8415
明城公寓,长沙县小区,(长沙县泉塘)板仓南路19号,暂无信息 ,4,8523
艾美潇湘,长沙县小区,(长沙县中南汽车世界)西霞路19号,2015年建成 ,0,8640
楚天世纪城,长沙县小区,(长沙县泉塘)星沙大道与漓湘路交汇处西南角,2015年建成 ,1,8733
四季星城一期,长沙县小区,(长沙县万家丽北)湘龙路35号,2012年建成 ,3,8752
万丽景园,长沙县小区,(长沙县万家丽北)万家丽北路61号,暂无信息 ,1,8756
红树湾,长沙县小区,(长沙县万家丽北)万家丽北路与湘龙路交汇处,2012年建成 ,14,8789
方略潇邦,长沙县小区,(长沙县泉塘)漓湘东路98号,2010年建成 ,5,8800
草莓街区,长沙县小区,(长沙县万家丽北)万家丽北路与湘龙路交汇处东南角（机电学院旁）,2015年建成 ,4,9047
中国铁建国际城,长沙县小区,(长沙县泉塘)东六线与螺丝塘路相交处,2010年建成 ,5,9059
晶华美地,长沙县小区,(长沙县开元路)板仓路219号,2006年建成 ,5,9088
三一街区,长沙县小区,(长沙县万家丽北)特立西路18号,2010年建成 ,8,9319
郡原居里,长沙县小区,(长沙县万家丽北)滨湖西路郡原居里,暂无信息 ,11,9510
幸福里润城,长沙县小区,(长沙县开元路)东二路20号,2009年建成 ,4,9775
山水湾,长沙县小区,(长沙县万家丽北)万家丽北路68号,2011年建成 ,17,9949
尚城商务楼,长沙县小区,(长沙县开元路)尚城商务楼,暂无信息 ,8,10168
筑梦园,长沙县小区,(长沙县中南汽车世界)开元西路12号,2006年建成 ,3,10170
世锦家和院,长沙县小区,(长沙县开元路)开元东路193号,2012年建成 ,0,10371
好望谷云邸,长沙县小区,(长沙县万家丽北)贺龙体校路6号,2012年建成 ,10,10400
凤凰城倚云府,长沙县小区,(长沙县开元路)东一路88号,2014年建成 ,25,10616
蓝山郡一期,长沙县小区,(长沙县开元路)星沙大道198号,2012年建成 ,3,10645
恒大翡翠华庭,长沙县小区,(长沙县开元路)东四路恒大翡翠华庭,2014年建成 ,0,10765
碧桂园威尼斯城水岸人家,长沙县小区,(长沙县松雅湖)星沙大道325号,暂无信息 ,10,11161
