name,pro,address,year,taoshu,price
纸业市场,开福小区,(开福开福区政府)金马路纸业市场,暂无信息 ,0,6191
旺角佳园,开福小区,(开福四方坪)蒋家陇丽臣路97号,2002年建成 ,0,6613
星城雅郡,开福小区,(开福月湖)319国道与京株高速公路交汇处,2011年建成 ,0,6945
四方商贸城,开福小区,(开福四方坪)栖凤路37号,2000年建成 ,0,7259
金霞苑,开福小区,(开福湘江世纪城)迎霞路106号,2007年建成 ,1,7474
江滨玫瑰园,开福小区,(开福湘江世纪城)盛世路248号,2002年建成 ,4,7701
市公安局宿舍,开福小区,(开福开福区政府)芙蓉北路1段880号,暂无信息 ,1,7720
四方小区,开福小区,(开福四方坪)双拥路158号,2003年建成 ,8,7767
阳光花园,开福小区,(开福四方坪)丽臣路361号,2001年建成 ,4,7828
蒋家垅,开福小区,(开福四方坪)蒋家垅街1号,暂无信息 ,0,7928
湘楚家园,开福小区,(开福月湖)大塘巷25号,2008年建成 ,5,7944
龙福小区,开福小区,(开福金霞)裕城路龙福小区,2000年建成 ,0,7956
洪山家园,开福小区,(开福福元西路)福元西路586号,2005年建成 ,9,7969
北湾景园,开福小区,(开福金霞)兴隆路12号,2006年建成 ,5,8099
广福园,开福小区,(开福开福区政府)落刀嘴118号,2002年建成 ,12,8351
竹满人家,开福小区,(开福四方坪)新码头26号,2007年建成 ,1,8376
伍家岭生活广场,开福小区,(开福四方坪)芙蓉中路二段459号,2009年建成 ,12,8405
金霞银园,开福小区,(开福金霞)芙蓉北路87号,2010年建成 ,3,8525
金帆小区,开福小区,(开福四方坪)德雅路1420号,2000年建成 ,10,8635
东风一村,开福小区,(开福烈士公园)东风路七条巷115号,1996年建成 ,1,8665
紫晶城二期,开福小区,(开福中南汽车世界)汽配城路65号,2008年建成 ,1,8724
德邦新村,开福小区,(开福四方坪)德雅路1152号,2003年建成 ,4,8764
江景阳光,开福小区,(开福金霞)芙蓉北路52号,2005年建成 ,5,8766
人造板厂宿舍,开福小区,(开福北辰三角洲)新河北堤1号,暂无信息 ,1,8974
紫晶城,开福小区,(开福月湖)汽配城路65号,2008年建成 ,5,9086
金达家园,开福小区,(开福烈士公园)浏阳河路10号,2007年建成 ,1,9114
塞纳公馆,开福小区,(开福金霞)芙 蓉北路捞刀河大桥以北100米,2014年建成 ,1,9179
万煦园,开福小区,(开福四方坪)三一大道203号,2007年建成 ,9,9184
建湘新村,开福小区,(开福烈士公园)建湘新村巷59号,2001年建成 ,2,9195
和平花园,开福小区,(开福湘江世纪城)迎霞路96号,2009年建成 ,0,9286
陈家湖小区,开福小区,(开福北辰三角洲)芙蓉北路二段168号,2001年建成 ,11,9304
恒鑫山水卿卿,开福小区,(开福金霞)秀峰路69号,2013年建成 ,0,9327
锦和嘉园,开福小区,(开福四方坪)三一大道111号,2007年建成 ,4,9420
瑞都豪庭,开福小区,(开福四方坪)陡岭路180号,2012年建成 ,0,9541
北桥新村,开福小区,(开福伍家岭)华夏路300号,1997年建成 ,2,9555
明珠苑,开福小区,(开福北辰三角洲)芙蓉北路二段200号,2001年建成 ,3,9584
佳阳悦景馨都,开福小区,(开福四方坪)陡岭路85号,2007年建成 ,9,9615
景香苑,开福小区,(开福开福区政府)华章路44号,2006年建成 ,15,9620
水岸兰庭,开福小区,(开福开福区政府)福城路108号,2007年建成 ,1,9628
豪菲斯国际公寓,开福小区,(开福烈士公园)芙蓉中路一段15号,2005年建成 ,0,9686
雅泰家园,开福小区,(开福四方坪)新码头路157号,2004年建成 ,4,9769
如果爱,开福小区,(开福四方坪)双拥路301号,2016年建成 ,9,9824
交通设计院陈家湖宿舍,开福小区,(开福北辰三角洲)芙蓉北路二段158号,暂无信息 ,3,9852
深业堤亚纳湾一期,开福小区,(开福金霞)北二环一段169号,2010年建成 ,1,9903
滨江美寓,开福小区,(开福开福区政府)盛世路164号,2006年建成 ,17,9985
建鸿达现代公寓,开福小区,(开福烈士公园)芙蓉北路65号,2007年建成 ,5,9991
新和家具市场,开福小区,(开福伍家岭)华夏路257号,暂无信息 ,0,10029
新时代广场,开福小区,"(开福烈士公园)芙蓉中路163号, 芙蓉中路一段161",2009年建成 ,3,10067
省粮食局宿舍,开福小区,(开福伍家岭)新河路460号,暂无信息 ,2,10095
中坤领秀峰,开福小区,(开福金霞)芙蓉北路199号,2012年建成 ,0,10118
华江乐天花亭,开福小区,(开福金霞)芙蓉北路一段86号,2007年建成 ,4,10229
山语城一期,开福小区,(开福金霞)秀峰路80号,2013年建成 ,10,10251
雄新水印廊桥,开福小区,(开福福元西路)东二环299号,暂无信息 ,4,10261
极目楚天,开福小区,(开福金霞)芙蓉北路481号,2012年建成 ,18,10305
恒鑫澜北湾,开福小区,(开福开福区政府)盛世路249号,2008年建成 ,15,10374
时代先锋,开福小区,(开福四方坪)四方坪98号,2004年建成 ,14,10451
庄园心伽泊,开福小区,(开福福元西路)双河路112号,暂无信息 ,0,10505
星尚公寓,开福小区,(开福四方坪)双拥路179号,2012年建成 ,14,10579
金色比华利,开福小区,(开福月湖)三一大道500号,暂无信息 ,3,10580
山语城二期,开福小区,(开福金霞)芙蓉北路386号,2013年建成 ,3,10619
富湘园,开福小区,(开福伍家岭)湘雅路毛家桥39号,2005年建成 ,4,10620
先锋水韵花都,开福小区,(开福开福区政府)福城路49号,2007年建成 ,16,10630
锦绣华天小区,开福小区,(开福伍家岭)芙蓉中路一段206号,2011年建成 ,9,10649
中国铁建山语城三期,开福小区,(开福金霞)秀峰路80号（芙蓉北路与秀峰路交汇处东南角）,2015年建成 ,0,10683
顺天北国风光,开福小区,(开福开福区政府)芙蓉北路206号,2003年建成 ,8,10685
科大佳园北苑,开福小区,(开福四方坪)双拥路596号,2010年建成 ,1,10692
通华天都,开福小区,(开福四方坪)车站北路649号,2009年建成 ,5,10766
英祥春天,开福小区,(开福福元西路)福元西路220号,2011年建成 ,22,10812
上城金都国际公馆,开福小区,(开福松桂园)黄兴北路89号,暂无信息 ,8,10812
新家园,开福小区,(开福四方坪)车站北路新家园,2004年建成 ,3,10813
凯达园,开福小区,(开福伍家岭)湘雅路188号,暂无信息 ,4,10889
中国铁建山语城二期,开福小区,(开福金霞)秀峰路69号,2013年建成 ,0,10917
财富名园,开福小区,(开福月湖)万家丽北路二段18号,2012年建成 ,2,10975
华府一航线,开福小区,(开福烈士公园)三一大道312号,暂无信息 ,6,11074
美利新世界,开福小区,(开福广电)福元中路66号,2010年建成 ,5,11108
法苑小区,开福小区,(开福开福区政府)金马路118号,2008年建成 ,0,11155
左岸春天,开福小区,(开福四方坪)双拥路216号,2005年建成 ,4,11174
四季美景水木轩,开福小区,(开福四方坪)双拥路88号,2007年建成 ,10,11183
双湾国际,开福小区,(开福金霞)双湾路69号,2010年建成 ,7,11202
