name,pro,address,year,taoshu,price
高域自然城一期,望城小区,(望城望城区)郭亮中路与旺旺西路交汇处西北角（高塘岭镇黄桥大道旁）,2014年建成 ,0,4275
富基世纪公园二期,望城小区,(望城望城区)普瑞大道二段888号,2013年建成 ,0,6467
澳海澜庭,望城小区,(望城金星北)银星路999号,2015年建成 ,0,6959
玛丽的花园,望城小区,"(望城金星北)金星北路与银星路交汇处东北角,金星北路玛丽的花园",2012年建成 ,0,7080
新城国际花都三期,望城小区,(望城望城区)银星路新城国际花都三期,2014年建成 ,0,7964
富基世纪公园,望城小区,(望城望城区)普瑞大道二段888号,2014年建成 ,1,8038
玫瑰园,望城小区,(望城金星北)金星北路208号,2007年建成 ,2,8237
润和紫郡,望城小区,(望城金星北)银星路999号,2013年建成 ,0,8373
恒大名都,望城小区,(望城望城区)普瑞东路恒大名都,2009年建成 ,6,8563
乾源国际广场,望城小区,(望城金星北)银星路乾源国际广场,2013年建成 ,0,8765
浩龙音乐界,望城小区,(望城望城区)金星大道与普瑞大道交汇处西北角（南塘湾公交车站东南处）,2012年建成 ,1,8821
勤诚达新界,望城小区,(望城望城区) 金星北路勤诚达新界,2013年建成 ,6,8835
新城国际花都二期,望城小区,(望城望城区)雷锋大道999号,2014年建成 ,0,9002
名家翡翠花园,望城小区,(望城金星北)金星北路301号,2011年建成 ,2,9007
新城国际花都一期,望城小区,(望城望城区)雷锋大道与银星路交汇处东南角,2013年建成 ,2,9059
悦禧国际山庄,望城小区,(望城望城区)黄金东路与雷锋大道交汇处东南角（悦禧山庄公交站附近）,2014年建成 ,1,9089
新地东方明珠,望城小区,(望城金星北)金星大道209号,2012年建成 ,4,9218
时代倾城,望城小区,(望城金星北)金星北路208号,2013年建成 ,0,9449
金地三千府,望城小区,(望城望城区)望城雷峰大道与银星路交汇处西南角（龙湖高尔夫北面）,2013年建成 ,0,9725
